,word,n_feature
1465,faun,6.0
1466,fauns,7.0
1467,fawn,5.0
1468,fawned,6.0
1469,fawns,6.0
1470,faze,4.0
1471,fazed,5.0
1472,fear,5.0
1473,fears,6.0
1474,feast,6.0
1475,feasts,7.0
1476,feat,5.0
1477,feats,6.0
1478,fed,7.0
1479,fee,10.0
1480,feed,6.0
1481,feeds,7.0
1482,feel,5.0
1483,feels,6.0
1484,fees,11.0
1485,feet,16.0
1486,feign,5.0
1487,feigned,6.0
1488,feigns,6.0
1489,feint,6.0
1490,feints,7.0
1491,fell,7.0
1492,felt,6.0
1493,fence,10.0
1494,fern,10.0
1495,ferns,11.0
1496,fetch,5.0
1497,fetched,6.0
1498,fete,4.0
1499,fetes,5.0
1500,feud,4.0
1501,feuds,5.0
1502,few,9.0
1503,fez,11.0
1504,fib,8.0
1505,fief,4.0
1506,fiefs,5.0
1507,field,8.0
1508,fields,9.0
1509,fiend,10.0
1510,fiends,11.0
1511,fierce,8.0
1512,fife,15.0
1513,fifes,16.0
1514,fifth,12.0
1515,fig,10.0
1516,fight,4.0
1517,fights,5.0
1518,figs,11.0
1519,filch,6.0
1520,filched,7.0
1521,file,5.0
1522,filed,6.0
1523,files,6.0
1524,fill,4.0
1525,filled,5.0
1526,fills,5.0
1527,film,5.0
1528,films,6.0
1529,filth,7.0
1530,filths,8.0
1531,fin,8.0
1532,finch,31.0
1533,find,3.0
1534,finds,4.0
1535,fine,5.0
1536,fink,9.0
1537,finks,10.0
1538,fins,9.0
1539,fir,7.0
1540,fire,3.0
1541,fires,4.0
1542,firm,4.0
1543,firms,5.0
1544,firs,8.0
1545,first,9.0
1546,fish,
1547,fish,
1548,fist,16.0
1549,fists,17.0
1550,fit,
1551,fit,
1552,fits,7.0
1553,five,12.0
1554,fix,5.0
1555,fixed,6.0
1556,fizz,7.0
1557,flag,6.0
1558,flags,7.0
1559,flail,6.0
1560,flailed,7.0
1561,flails,7.0
1562,flair,7.0
1563,flairs,8.0
1564,flak,8.0
1565,flake,5.0
1566,flakes,6.0
1567,flame,4.0
1568,flames,5.0
1569,flan,7.0
1570,flank,5.0
1571,flanked,6.0
1572,flanks,6.0
1573,flap,4.0
1574,flapped,5.0
1575,flaps,5.0
1576,flare,7.0
1577,flared,8.0
1578,flares,8.0
1579,flash,8.0
1580,flashed,9.0
1581,flask,11.0
1582,flasks,12.0
1583,flat,6.0
1584,flaunt,3.0
1585,flaw,3.0
1586,flaws,4.0
1587,flax,8.0
1588,flay,6.0
1589,flea,23.0
1590,fleas,24.0
1591,fleck,5.0
1592,flecks,6.0
1593,fledge,3.0
1594,flee,5.0
1595,fleet,5.0
1596,fleets,6.0
1597,flesh,7.0
1598,flew,5.0
1599,flex,6.0
1600,flexed,7.0
1601,flick,8.0
1602,flicked,9.0
1603,flicks,9.0
1604,flies,5.0
1605,flight,3.0
1606,flights,4.0
1607,flinch,5.0
1608,flinched,6.0
1609,fling,7.0
1610,flings,8.0
1611,flint,7.0
1612,flints,8.0
1613,flip,6.0
1614,flipped,7.0
1615,flips,7.0
1616,flirt,6.0
1617,flirts,7.0
1618,flit,7.0
1619,flits,8.0
1620,float,4.0
1621,floats,5.0
1622,flock,3.0
1623,flocks,4.0
1624,floe,5.0
1625,floes,6.0
1626,flog,6.0
1627,flogged,7.0
1628,flogs,7.0
1629,flood,4.0
1630,floods,5.0
1631,floor,6.0
1632,floors,7.0
1633,flop,4.0
1634,flopped,5.0
1635,flops,5.0
1636,floss,8.0
1637,flounce,5.0
1638,flounced,6.0
1639,flour,6.0
1640,flours,7.0
1641,flout,4.0
1642,flow,5.0
1643,flows,6.0
1644,flu,11.0
1645,flub,4.0
1646,flubbed,5.0
1647,flubs,5.0
1648,flue,9.0
1649,fluff,5.0
1650,fluffs,6.0
1651,fluke,1.0
1652,flukes,2.0
1653,flume,10.0
1654,flung,8.0
1655,flunk,3.0
1656,flus,12.0
1657,flush,5.0
1658,flushed,6.0
1659,flute,14.0
1660,flutes,15.0
1661,flux,5.0
1662,fly,4.0
1663,foal,10.0
1664,foals,11.0
1665,foam,10.0
1666,foams,11.0
1667,fob,8.0
1668,fobs,9.0
1669,foe,8.0
1670,foes,9.0
1671,fog,6.0
1672,fogs,7.0
1673,foil,4.0
1674,foils,5.0
1675,foist,4.0
1676,foists,5.0
1677,fold,5.0
1678,folds,6.0
1679,folk,4.0
1680,folks,5.0
1681,fond,4.0
1682,font,11.0
1683,fonts,12.0
1684,food,4.0
1685,foods,5.0
1686,fool,10.0
1687,fools,11.0
1688,foot,15.0
1689,fop,13.0
1690,fops,14.0
1691,for,8.0
1692,force,5.0
1693,ford,9.0
1694,fords,10.0
1695,fore,8.0
1696,forge,6.0
1697,fork,9.0
1698,forks,10.0
1699,form,8.0
1700,forms,9.0
1701,fort,5.0
1702,forth,11.0
1703,forts,6.0
1704,fought,5.0
1705,foul,8.0
1706,fouled,9.0
1707,fouls,9.0
1708,found,4.0
1709,fourth,11.0
1710,fowl,
1711,fowl,
1712,fox,24.0
1713,frail,7.0
1714,frame,13.0
1715,frames,14.0
1716,franc,6.0
1717,francs,7.0
1718,frank,6.0
1719,frappe,7.0
1720,frappes,8.0
1721,fraud,6.0
1722,frauds,7.0
1723,fray,4.0
1724,frayed,5.0
1725,frays,5.0
1726,freak,6.0
1727,freaks,7.0
1728,free,5.0
1729,freeze,6.0
1730,freight,4.0
1731,freights,5.0
1732,french,
1733,french,
1734,fresh,6.0
1735,fret,8.0
1736,frets,9.0
1737,fridge,7.0
1738,fried,6.0
1739,friend,8.0
1740,friends,9.0
1741,fries,6.0
1742,frieze,5.0
1743,fright,6.0
1744,frights,7.0
1745,frill,6.0
1746,frills,7.0
1747,fringe,6.0
1748,frisk,4.0
1749,frizz,7.0
1750,fro,8.0
1751,frock,27.0
1752,frocks,28.0
1753,frog,20.0
1754,frogs,21.0
1755,from,8.0
1756,frond,8.0
1757,front,6.0
1758,fronts,7.0
1759,frost,8.0
1760,frosts,9.0
1761,froth,7.0
1762,frothed,8.0
1763,froths,8.0
1764,frown,8.0
1765,frowned,9.0
1766,frowns,9.0
1767,froze,7.0
1768,fruit,8.0
1769,fruits,9.0
1770,frump,11.0
1771,frumps,12.0
1772,fry,5.0
1773,fuck,8.0
1774,fudge,7.0
1775,fuel,5.0
1776,fuels,6.0
1777,fugue,4.0
1778,full,6.0
1779,fume,7.0
1780,fumes,8.0
1781,fun,4.0
1782,fund,4.0
1783,funds,5.0
1784,funk,4.0
1785,funks,5.0
1786,fur,9.0
1787,furl,4.0
1788,furled,5.0
1789,furls,5.0
1790,furs,10.0
1791,fuse,6.0
1792,fuss,8.0
1793,fussed,9.0
1794,fuzz,8.0
1795,gab,8.0
1796,gabs,9.0
1797,gad,6.0
1798,gads,7.0
1799,gaff,9.0
1800,gaffe,4.0
1801,gaffes,5.0
1802,gaffs,10.0
1803,gag,9.0
1804,gags,10.0
1805,gain,4.0
1806,gained,5.0
1807,gains,5.0
1808,gait,6.0
1809,gaits,7.0
1810,gal,8.0
1811,gale,7.0
1812,gales,8.0
1813,gall,11.0
1814,gals,9.0
1815,game,4.0
1816,games,5.0
1817,gamp,8.0
1818,gang,5.0
1819,gangs,6.0
1820,gap,4.0
1821,gape,5.0
1822,gaped,6.0
1823,gapes,6.0
1824,gaps,5.0
1825,garb,7.0
1826,garbs,8.0
1827,gas,3.0
1828,gash,6.0
1829,gasp,6.0
1830,gasped,7.0
1831,gasps,7.0
1832,gat,20.0
1833,gate,12.0
1834,gates,13.0
1835,gauche,8.0
1836,gaud,4.0
1837,gauge,9.0
1838,gaunt,6.0
1839,gauze,5.0
1840,gave,4.0
1841,gawk,5.0
1842,gay,6.0
1843,gaze,4.0
1844,gazed,5.0
1845,gear,13.0
1846,gears,14.0
1847,gee,5.0
1848,gees,6.0
1849,geese,32.0
1850,gel,6.0
1851,gels,7.0
1852,gem,6.0
1853,gems,7.0
1854,gene,5.0
1855,genes,6.0
1856,gent,13.0
1857,gents,14.0
1858,germ,4.0
1859,germs,5.0
1860,get,2.0
1861,gets,3.0
1862,ghast,8.0
1863,ghasts,9.0
1864,ghost,8.0
1865,ghosts,9.0
1866,ghoul,8.0
1867,ghouls,9.0
1868,gibe,9.0
1869,gibes,10.0
1870,gift,5.0
1871,gifts,6.0
1872,gig,21.0
1873,gigs,22.0
1874,gild,4.0
1875,gilds,5.0
1876,gill,9.0
1877,gills,10.0
1878,gilt,6.0
1879,gin,8.0
1880,gins,9.0
1881,gird,2.0
1882,girds,3.0
1883,girl,12.0
1884,girls,13.0
1885,girth,6.0
1886,girths,7.0
1887,gist,6.0
1888,gists,7.0
1889,give,3.0
1890,gives,4.0
1891,glad,6.0
1892,glade,7.0
1893,glades,8.0
1894,glance,6.0
1895,glanced,7.0
1896,gland,8.0
1897,glands,9.0
1898,glare,6.0
1899,glass,7.0
1900,glaze,6.0
1901,gleam,8.0
1902,glean,5.0
1903,gleaned,6.0
1904,gleans,6.0
1905,glee,6.0
1906,glees,7.0
1907,glen,7.0
1908,glens,8.0
1909,glib,6.0
1910,glide,5.0
1911,glides,6.0
1912,glimpse,6.0
1913,glint,5.0
1914,glitch,4.0
1915,gloat,10.0
1916,gloats,11.0
1917,glob,5.0
1918,globe,15.0
1919,globes,16.0
1920,globs,6.0
1921,gloom,8.0
1922,glooms,9.0
1923,gloss,7.0
1924,glove,8.0
1925,gloves,9.0
1926,glow,4.0
1927,glue,5.0
1928,glued,6.0
1929,glues,6.0
1930,glut,5.0
1931,gluts,6.0
1932,gnarl,6.0
1933,gnash,7.0
1934,gnashed,8.0
1935,gnat,26.0
1936,gnats,27.0
1937,gnaw,9.0
1938,gnawed,10.0
1939,gnaws,10.0
1940,gnome,5.0
1941,gnomes,6.0
1942,gnu,32.0
1943,gnus,33.0
1944,go,6.0
1945,goad,6.0
1946,goads,7.0
1947,goal,3.0
1948,goals,4.0
1949,goat,33.0
1950,goats,34.0
1951,gob,13.0
1952,gobs,14.0
1953,god,4.0
1954,gods,5.0
1955,goes,4.0
1956,gold,7.0
1957,golds,8.0
1958,golf,5.0
1959,golfs,6.0
1960,gong,9.0
1961,gongs,10.0
1962,goo,5.0
1963,good,5.0
1964,goods,4.0
1965,goof,5.0
1966,goon,10.0
1967,goons,11.0
1968,goose,31.0
1969,gore,10.0
1970,gores,11.0
1971,gorge,8.0
1972,got,3.0
1973,gouge,8.0
1974,gouged,9.0
1975,gourd,12.0
1976,gourds,13.0
1977,gout,12.0
1978,gown,26.0
1979,gowns,27.0
1980,grab,6.0
1981,grabbed,7.0
1982,grabs,7.0
1983,grace,2.0
1984,grad,5.0
1985,grade,4.0
1986,grades,5.0
1987,grads,6.0
1988,graft,7.0
1989,grafts,8.0
1990,grail,9.0
1991,grails,10.0
1992,grain,6.0
1993,grains,7.0
1994,gram,7.0
1995,grams,8.0
1996,grand,5.0
1997,grange,10.0
1998,grant,5.0
1999,grants,6.0
2000,grape,9.0
2001,grapes,10.0
2002,graph,10.0
2003,graphs,11.0
2004,grasp,4.0
2005,grasped,5.0
2006,grasps,5.0
2007,grass,14.0
2008,grate,12.0
2009,grates,13.0
2010,grave,8.0
2011,graves,9.0
2012,gray,7.0
2013,graze,5.0
2014,grazed,6.0
2015,grease,8.0
2016,great,5.0
2017,greed,6.0
2018,greeds,7.0
2019,green,5.0
2020,greet,5.0
2021,greets,6.0
2022,grew,5.0
2023,grey,7.0
2024,grid,5.0
2025,grids,6.0
2026,grief,3.0
2027,griefs,4.0
2028,grieve,8.0
2029,grieved,9.0
2030,grieves,9.0
2031,grill,30.0
2032,grille,5.0
2033,grilles,6.0
2034,grills,31.0
2035,grim,7.0
2036,grime,5.0
2037,grimed,6.0
2038,grimes,6.0
2039,grin,7.0
2040,grind,5.0
2041,grinds,6.0
2042,grinned,8.0
2043,grins,8.0
2044,grip,4.0
2045,gripe,4.0
2046,gripes,5.0
2047,grips,5.0
2048,grist,7.0
2049,grit,7.0
2050,grits,8.0
2051,groan,5.0
2052,groaned,6.0
2053,groans,6.0
2054,grog,8.0
2055,groin,6.0
2056,groins,7.0
2057,groom,10.0
2058,grooms,11.0
2059,groove,8.0
2060,grooves,9.0
2061,grope,3.0
2062,groped,4.0
2063,gropes,4.0
2064,gross,9.0
2065,grouch,11.0
2066,ground,6.0
2067,group,2.0
2068,groups,3.0
2069,grouse,6.0
2070,grout,6.0
2071,grove,4.0
2072,groves,5.0
2073,grow,4.0
2074,growl,5.0
2075,growled,6.0
2076,growls,6.0
2077,grows,5.0
2078,growth,5.0
2079,growths,6.0
2080,grub,7.0
2081,grubs,8.0
2082,grudge,5.0
2083,gruff,8.0
2084,grunt,5.0
2085,grunts,6.0
2086,guard,10.0
2087,guards,11.0
2088,guess,4.0
2089,guessed,5.0
2090,guest,9.0
2091,guests,10.0
2092,guide,4.0
2093,guides,5.0
2094,guild,7.0
2095,guilds,8.0
2096,guile,6.0
2097,guiles,7.0
2098,guilt,3.0
2099,guilts,4.0
2100,guise,4.0
2101,gulch,10.0
2102,gulf,4.0
2103,gulfs,5.0
2104,gull,10.0
2105,gulp,8.0
2106,gulps,9.0
2107,gum,9.0
2108,gums,10.0
2109,gun,19.0
2110,gunk,4.0
2111,gunks,5.0
2112,guns,20.0
2113,gush,7.0
2114,gushed,8.0
2115,gust,7.0
2116,gusts,8.0
2117,gut,8.0
2118,guts,9.0
2119,guy,13.0
2120,guys,14.0
2121,gym,5.0
2122,gyms,6.0
2123,gyp,8.0
2124,hack,8.0
2125,hacked,9.0
2126,hacks,9.0
2127,hag,13.0
2128,hags,14.0
2129,hail,6.0
2130,hailed,7.0
2131,hails,7.0
2132,hair,9.0
2133,hairs,10.0
2134,hake,7.0
2135,hakes,8.0
2136,hall,10.0
2137,halls,11.0
2138,halt,4.0
2139,halts,5.0
2140,halve,7.0
2141,halved,8.0
2142,halves,8.0
2143,ham,8.0
2144,hams,9.0
2145,hand,15.0
2146,hands,16.0
2147,hang,8.0
2148,hangs,9.0
2149,hank,10.0
2150,hanks,11.0
2151,hard,6.0
2152,hare,21.0
2153,hares,22.0
2154,hark,4.0
2155,harked,5.0
2156,harks,5.0
2157,harm,5.0
2158,harms,6.0
2159,harp,14.0
2160,harps,15.0
2161,harsh,7.0
2162,hart,37.0
2163,harts,38.0
2164,hash,11.0
2165,hasp,8.0
2166,hasps,9.0
2167,haste,5.0
2168,hastes,6.0
2169,hat,11.0
2170,hatch,5.0
2171,hate,5.0
2172,hates,6.0
2173,hats,12.0
2174,haul,5.0
2175,haunch,5.0
2176,haunt,4.0
2177,haunts,5.0
2178,have,3.0
2179,haw,15.0
2180,hawk,30.0
2181,hawks,31.0
2182,hay,6.0
2183,hays,7.0
2184,haze,5.0
2185,he,9.0
2186,head,8.0
2187,heads,9.0
2188,heal,6.0
2189,healed,7.0
2190,heals,7.0
2191,health,4.0
2192,healths,5.0
2193,heap,3.0
2194,heaps,4.0
2195,hear,4.0
2196,heard,5.0
2197,hears,5.0
2198,hearse,57.0
2199,heart,7.0
2200,hearth,6.0
2201,hearths,7.0
2202,hearts,8.0
2203,heat,5.0
2204,heath,15.0
2205,heaths,16.0
2206,heats,6.0
2207,heave,5.0
2208,heaves,6.0
2209,hedge,11.0
2210,heed,4.0
2211,heeds,5.0
2212,heel,12.0
2213,heels,13.0
2214,heft,4.0
2215,height,7.0
2216,heights,8.0
2217,heir,8.0
2218,heirs,9.0
2219,held,6.0
2220,hell,3.0
2221,helm,7.0
2222,helms,8.0
2223,help,4.0
2224,helped,5.0
2225,helps,5.0
2226,hem,6.0
2227,hemp,8.0
2228,hemps,9.0
2229,hems,7.0
2230,hen,36.0
2231,hence,9.0
2232,hens,37.0
2233,her,9.0
2234,herb,13.0
2235,herbs,14.0
2236,herd,2.0
2237,herds,3.0
2238,here,11.0
2239,hers,9.0
2240,hex,7.0
2241,hey,7.0
2242,hick,11.0
2243,hicks,12.0
2244,hid,4.0
2245,hide,3.0
2246,hides,4.0
2247,high,7.0
2248,hike,7.0
2249,hikes,8.0
2250,hill,8.0
2251,hills,9.0
2252,hilt,7.0
2253,hilts,8.0
2254,him,8.0
2255,hind,7.0
2256,hinge,8.0
2257,hint,6.0
2258,hints,7.0
2259,hip,5.0
2260,hips,6.0
2261,hire,4.0
2262,hired,5.0
2263,hires,5.0
2264,hiss,5.0
2265,hissed,6.0
2266,hit,
2267,hit,
2268,hitch,6.0
2269,hitched,7.0
2270,hits,8.0
2271,hive,5.0
2272,hives,6.0
2273,hoard,4.0
2274,hoarse,7.0
2275,hoax,8.0
2276,hob,4.0
2277,hobs,5.0
2278,hock,5.0
2279,hocked,6.0
2280,hocks,6.0
2281,hoe,7.0
2282,hoes,8.0
2283,hog,11.0
2284,hogs,12.0
2285,hoist,5.0
2286,hoists,6.0
2287,hold,5.0
2288,holds,6.0
2289,hole,7.0
2290,holes,8.0
2291,home,6.0
2292,homes,7.0
2293,hone,5.0
2294,honk,7.0
2295,hooch,7.0
2296,hood,13.0
2297,hoods,14.0
2298,hoof,11.0
2299,hook,6.0
2300,hooked,7.0
2301,hooks,7.0
2302,hoop,8.0
2303,hoops,9.0
2304,hoot,10.0
2305,hoots,11.0
2306,hooves,12.0
2307,hop,6.0
2308,hope,6.0
2309,hoped,7.0
2310,hopes,7.0
2311,hopped,7.0
2312,hops,
2313,hops,
2314,hops,
2315,horde,5.0
2316,hordes,6.0
2317,horn,8.0
2318,horns,9.0
2319,horse,34.0
2320,hose,10.0
2321,host,10.0
2322,hosts,11.0
2323,hot,5.0
2324,hound,26.0
2325,hounds,27.0
2326,hour,4.0
2327,hours,5.0
2328,house,22.0
2329,how,7.0
2330,howl,8.0
2331,howls,9.0
2332,hub,3.0
2333,hubs,4.0
2334,huck,8.0
2335,hucks,9.0
2336,hue,5.0
2337,hues,6.0
2338,huff,8.0
2339,hug,6.0
2340,huge,8.0
2341,hugged,7.0
2342,hugs,7.0
2343,huh,8.0
2344,hulk,10.0
2345,hulks,11.0
2346,hull,7.0
2347,hulls,8.0
2348,hum,7.0
2349,hummed,8.0
2350,hump,4.0
2351,humped,5.0
2352,humps,5.0
2353,hums,8.0
2354,hunch,6.0
2355,hung,9.0
2356,hunk,13.0
2357,hunks,14.0
2358,hunt,6.0
2359,hunts,7.0
2360,hurl,8.0
2361,hurled,9.0
2362,hurls,9.0
2363,hurt,
2364,hurt,
2365,hurts,7.0
2366,hush,5.0
2367,husk,6.0
2368,husks,7.0
2369,hut,9.0
2370,hutch,6.0
2371,huts,10.0
2372,hymn,7.0
2373,hymns,8.0
2374,ice,6.0
2375,id,8.0
2376,ides,5.0
2377,ids,9.0
2378,if,6.0
2379,ilk,8.0
2380,ilks,9.0
2381,ill,8.0
2382,imp,6.0
2383,imps,7.0
2384,in,9.0
2385,inch,5.0
2386,ink,5.0
2387,inks,6.0
2388,inn,32.0
2389,inns,33.0
2390,ire,5.0
2391,ires,6.0
2392,irk,6.0
2393,isle,6.0
2394,isles,7.0
2395,it,8.0
2396,itch,6.0
2397,its,9.0
2398,jab,8.0
2399,jabbed,9.0
2400,jabs,9.0
2401,jack,9.0
2402,jacks,10.0
2403,jade,7.0
2404,jag,4.0
2405,jags,5.0
2406,jail,9.0
2407,jails,10.0
2408,jam,5.0
2409,jamb,9.0
2410,jambs,10.0
2411,jammed,6.0
2412,jams,6.0
2413,jar,12.0
2414,jars,13.0
2415,jaunt,8.0
2416,jaunts,9.0
2417,jaw,11.0
2418,jaws,12.0
2419,jay,31.0
2420,jays,32.0
2421,jazz,7.0
2422,jean,9.0
2423,jeans,10.0
2424,jeep,57.0
2425,jeeps,58.0
2426,jeer,8.0
2427,jeered,9.0
2428,jeers,9.0
2429,jerk,7.0
2430,jerked,8.0
2431,jerks,8.0
2432,jest,5.0
2433,jests,6.0
2434,jet,28.0
2435,jets,29.0
2436,jew,9.0
2437,jews,10.0
2438,jib,8.0
2439,jibe,9.0
2440,jibes,10.0
2441,jibs,9.0
2442,jig,7.0
2443,jigs,8.0
2444,jilt,3.0
2445,jilts,4.0
2446,jinx,8.0
2447,jive,4.0
2448,jived,5.0
2449,jives,5.0
2450,job,4.0
2451,jobs,5.0
2452,jock,9.0
2453,jocks,10.0
2454,jog,5.0
2455,jogged,6.0
2456,jogs,6.0
2457,join,6.0
2458,joined,7.0
2459,joins,7.0
2460,joint,7.0
2461,joints,8.0
2462,joist,8.0
2463,joke,9.0
2464,jokes,10.0
2465,jolt,5.0
2466,jolts,6.0
2467,jot,5.0
2468,jots,6.0
2469,joust,3.0
2470,jousts,4.0
2471,jowl,17.0
2472,jowls,18.0
2473,joy,4.0
2474,joys,5.0
2475,judge,12.0
2476,jug,12.0
2477,jugs,13.0
2478,juice,7.0
2479,jump,6.0
2480,jumped,7.0
2481,jumps,7.0
2482,june,6.0
2483,junes,7.0
2484,junk,7.0
2485,junks,8.0
2486,just,5.0
2487,kale,6.0
2488,kales,7.0
2489,keel,6.0
2490,keels,7.0
2491,keen,6.0
2492,keep,2.0
2493,keeps,3.0
2494,keg,6.0
2495,kegs,7.0
2496,kelp,7.0
2497,kelps,8.0
2498,ken,6.0
2499,kept,3.0
2500,key,7.0
2501,keys,8.0
2502,kick,6.0
2503,kicked,7.0
2504,kicks,7.0
2505,kid,12.0
2506,kids,13.0
2507,kike,8.0
2508,kill,5.0
2509,killed,6.0
2510,kills,6.0
2511,kiln,11.0
2512,kilns,12.0
2513,kilt,24.0
2514,kilts,25.0
2515,kind,8.0
2516,kinds,9.0
2517,king,9.0
2518,kings,10.0
2519,kink,6.0
2520,kinks,7.0
2521,kiss,4.0
2522,kissed,5.0
2523,kit,6.0
2524,kite,5.0
2525,kites,6.0
2526,kits,7.0
2527,knack,7.0
2528,knacks,8.0
2529,knap,7.0
2530,knave,11.0
2531,knaves,12.0
2532,knead,5.0
2533,kneads,6.0
2534,knee,9.0
2535,kneel,5.0
2536,kneels,6.0
2537,knees,10.0
2538,knell,4.0
2539,knells,5.0
2540,knelt,6.0
2541,knew,4.0
2542,knife,15.0
2543,knight,10.0
2544,knights,11.0
2545,knit,
2546,knit,
2547,knits,5.0
2548,knives,16.0
2549,knob,9.0
2550,knobs,10.0
2551,knock,6.0
2552,knocked,7.0
2553,knocks,7.0
2554,knoll,9.0
2555,knolls,10.0
2556,knot,5.0
2557,knots,6.0
2558,know,3.0
2559,knows,4.0
2560,kraut,9.0
2561,krauts,10.0
2562,lab,6.0
2563,labs,7.0
2564,lace,7.0
2565,lack,4.0
2566,lacks,5.0
2567,lad,10.0
2568,lade,3.0
2569,lads,11.0
2570,lag,3.0
2571,lagged,4.0
2572,lags,4.0
2573,laid,7.0
2574,lair,10.0
2575,lairs,11.0
2576,lake,6.0
2577,lakes,7.0
2578,lam,4.0
2579,lamb,11.0
2580,lambs,12.0
2581,lame,7.0
2582,lamp,6.0
2583,lamps,7.0
2584,lams,5.0
2585,lance,10.0
2586,land,4.0
2587,lands,5.0
2588,lane,5.0
2589,lanes,6.0
2590,lap,21.0
2591,laps,22.0
2592,lapse,4.0
2593,larch,7.0
2594,lard,7.0
2595,lards,8.0
2596,large,7.0
2597,lark,31.0
2598,larks,32.0
2599,lash,6.0
2600,lashed,7.0
2601,lass,14.0
2602,last,9.0
2603,latch,8.0
2604,late,7.0
2605,lathe,7.0
2606,lathes,8.0
2607,laud,6.0
2608,laugh,5.0
2609,laughed,6.0
2610,laughs,6.0
2611,launch,4.0
2612,launched,5.0
2613,lave,8.0
2614,law,2.0
2615,lawn,7.0
2616,lawns,8.0
2617,laws,3.0
2618,lax,8.0
2619,lay,6.0
2620,lays,7.0
2621,laze,4.0
2622,leach,3.0
2623,lead,4.0
2624,leads,5.0
2625,leaf,8.0
2626,leak,8.0
2627,leaks,9.0
2628,lean,7.0
2629,leaned,8.0
2630,leans,8.0
2631,leap,6.0
2632,leaps,7.0
2633,learn,3.0
2634,learned,4.0
2635,learns,4.0
2636,lease,2.0
2637,leash,6.0
2638,leave,5.0
2639,leaves,
2640,leaves,
2641,led,5.0
2642,ledge,8.0
2643,lee,12.0
2644,leech,12.0
2645,leek,14.0
2646,leeks,15.0
2647,leer,4.0
2648,leered,5.0
2649,leers,5.0
2650,lees,13.0
2651,left,
2652,left,
2653,leg,11.0
2654,legs,12.0
2655,lei,11.0
2656,leis,12.0
2657,lend,3.0
2658,lends,4.0
2659,length,7.0
2660,lengths,8.0
2661,lens,6.0
2662,lent,4.0
2663,lept,7.0
2664,less,9.0
2665,lest,8.0
2666,let,
2667,let,
2668,lets,7.0
2669,lewd,6.0
2670,lice,25.0
2671,lick,5.0
2672,licked,6.0
2673,licks,6.0
2674,lid,8.0
2675,lids,9.0
2676,lie,5.0
2677,lied,6.0
2678,liege,9.0
2679,lien,5.0
2680,liens,6.0
2681,lies,6.0
2682,life,3.0
2683,lift,5.0
2684,lifts,6.0
2685,light,8.0
2686,lights,9.0
2687,lilt,3.0
2688,lilts,4.0
2689,limb,8.0
2690,limbs,9.0
2691,lime,5.0
2692,limes,6.0
2693,limn,5.0
2694,limp,8.0
2695,line,5.0
2696,lines,6.0
2697,link,4.0
2698,linked,5.0
2699,links,5.0
2700,lint,6.0
2701,lints,7.0
2702,lip,7.0
2703,lips,8.0
2704,lisp,4.0
2705,lisped,5.0
2706,lisps,5.0
2707,list,7.0
2708,lists,8.0
2709,live,3.0
2710,lived,4.0
2711,lives,
2712,lives,
2713,load,5.0
2714,loads,6.0
2715,loaf,9.0
2716,loan,3.0
2717,loans,4.0
2718,loath,7.0
2719,loathe,6.0
2720,loathed,7.0
2721,loathes,7.0
2722,loaves,10.0
2723,lob,7.0
2724,lobbed,8.0
2725,lobe,5.0
2726,lobes,6.0
2727,lobs,8.0
2728,lock,6.0
2729,locked,7.0
2730,locks,7.0
2731,lode,4.0
2732,lodes,5.0
2733,lodge,5.0
2734,loft,8.0
2735,lofts,9.0
2736,log,8.0
2737,logs,9.0
2738,loin,9.0
2739,loins,10.0
2740,loll,3.0
2741,lolled,4.0
2742,lolls,4.0
2743,lone,6.0
2744,long,8.0
2745,loo,15.0
2746,look,4.0
2747,looked,5.0
2748,looks,5.0
2749,loom,5.0
2750,loomed,6.0
2751,looms,6.0
2752,loon,10.0
2753,loons,11.0
2754,loop,7.0
2755,loops,8.0
2756,loose,8.0
2757,loot,5.0
2758,loots,6.0
2759,lop,7.0
2760,lope,5.0
2761,lopes,6.0
2762,lopped,8.0
2763,lops,8.0
2764,lord,5.0
2765,lords,6.0
2766,lore,4.0
2767,lose,4.0
2768,loss,4.0
2769,lost,5.0
2770,lot,6.0
2771,lots,7.0
2772,loud,5.0
2773,lounge,11.0
2774,louse,24.0
2775,lout,10.0
2776,louts,11.0
2777,love,4.0
2778,loves,5.0
2779,low,8.0
2780,lox,6.0
2781,luck,3.0
2782,lucks,4.0
2783,lug,6.0
2784,lugged,7.0
2785,lugs,7.0
2786,lull,3.0
2787,lulls,4.0
2788,lump,5.0
2789,lumps,6.0
2790,lunch,12.0
2791,lung,8.0
2792,lunge,5.0
2793,lunged,6.0
2794,lungs,9.0
2795,lurch,5.0
2796,lurched,6.0
2797,lure,11.0
2798,lured,12.0
2799,lures,12.0
2800,lurk,3.0
2801,lurked,4.0
2802,lurks,4.0
2803,lush,5.0
2804,lust,4.0
2805,lusts,5.0
2806,lute,5.0
2807,lutes,6.0
2808,lye,6.0
2809,lymph,6.0
2810,lymphs,7.0
2811,lynch,8.0
2812,lynx,25.0
2813,lyre,15.0
2814,lyres,16.0
2815,ma,15.0
2816,mace,10.0
2817,mack,31.0
2818,mad,8.0
2819,made,6.0
2820,mag,7.0
2821,maid,9.0
2822,maids,10.0
2823,mail,6.0
2824,mails,7.0
2825,maim,9.0
2826,maimed,10.0
2827,maims,10.0
2828,maize,20.0
2829,make,5.0
2830,makes,6.0
